Date,USA IMI/INDUSTRIALS
8/29/1996,334.1300488
8/30/1996,331.8310687
9/2/1996,331.8310687
9/3/1996,332.157496
9/4/1996,332.944681
9/5/1996,330.5395575
9/6/1996,333.8338199
9/9/1996,336.8259961
9/10/1996,337.170978
9/11/1996,337.9876314
9/12/1996,340.3340487
9/13/1996,343.8980637
9/16/1996,345.3640369
9/17/1996,344.0784978
9/18/1996,342.8026735
9/19/1996,343.6193204
9/20/1996,346.8325073
9/23/1996,345.9188278
9/24/1996,347.4299129
9/25/1996,348.7910753
9/26/1996,348.920042
9/27/1996,350.0223954
9/30/1996,350.8693663
10/1/1996,350.3187178
10/2/1996,353.4634195
10/3/1996,352.828902
10/4/1996,355.4552495
10/7/1996,354.961126
10/8/1996,353.5087047
10/9/1996,351.5942874
10/10/1996,351.1975665
10/11/1996,354.5976483
10/14/1996,355.1879277
10/15/1996,355.6204153
10/16/1996,355.3110874
10/17/1996,356.9909528
10/18/1996,358.0918726
10/21/1996,357.9979774
10/22/1996,356.5652617
10/23/1996,356.9115667
10/24/1996,355.4764845
10/25/1996,354.6487015
10/28/1996,351.4918307
10/29/1996,352.4799535
10/30/1996,352.6555738
10/31/1996,355.2858188
11/1/1996,354.6666161
11/4/1996,355.8486557
11/5/1996,358.1128568
11/6/1996,363.3916679
11/7/1996,365.1921339
11/8/1996,365.5083025
11/11/1996,366.8524771
11/12/1996,367.4044602
11/13/1996,369.2191054
11/14/1996,371.6945948
11/15/1996,371.4567042
11/18/1996,371.065196
11/19/1996,371.8316734
11/20/1996,373.9064991
11/21/1996,372.3391666
11/22/1996,374.0254704
11/25/1996,378.4721593
11/26/1996,376.5159929
11/27/1996,376.6352573
11/28/1996,376.6360065
11/29/1996,378.0696091
12/2/1996,376.5265071
12/3/1996,372.6078962
12/4/1996,371.4368515
12/5/1996,371.0792292
12/6/1996,368.110923
12/9/1996,371.9140822
12/10/1996,371.9693485
12/11/1996,368.3750592
12/12/1996,364.6429551
12/13/1996,363.8509916
12/16/1996,361.8595981
12/17/1996,363.7952777
12/18/1996,367.4101978
12/19/1996,372.9005246
12/20/1996,374.4127296
12/23/1996,372.1232699
12/24/1996,373.2773715
12/25/1996,373.2773715
12/26/1996,376.0056122
12/27/1996,376.5400331
12/30/1996,376.739245
12/31/1996,373.6883807
1/1/1997,373.6883807
1/2/1997,369.4406234
1/3/1997,374.0019113
1/6/1997,374.6394375
1/7/1997,377.780965
1/8/1997,375.6825665
1/9/1997,377.9159803
1/10/1997,379.3456663
1/13/1997,380.7456672
1/14/1997,383.0015591
1/15/1997,380.6767451
1/16/1997,380.9372553
1/17/1997,384.3594087
1/20/1997,385.5616277
