Date,USA IMI/UTILITIES
6/11/1997,367.8582014
6/12/1997,372.3658773
6/13/1997,374.3155847
6/16/1997,373.5481171
6/17/1997,373.9189062
6/18/1997,374.2419543
6/19/1997,376.827269
6/20/1997,375.3893997
6/23/1997,372.8045515
6/24/1997,373.495144
6/25/1997,371.833755
6/26/1997,372.1728192
6/27/1997,374.4738796
6/30/1997,375.9265402
7/1/1997,377.0561853
7/2/1997,379.3248998
7/3/1997,382.8518033
7/4/1997,382.8518033
7/7/1997,380.9178704
7/8/1997,382.0471763
7/9/1997,379.4836391
7/10/1997,381.8921626
7/11/1997,381.7848182
7/14/1997,381.4250739
7/15/1997,382.856661
7/16/1997,384.1522844
7/17/1997,381.2033911
7/18/1997,378.4317369
7/21/1997,376.0197433
7/22/1997,379.439388
7/23/1997,377.1584478
7/24/1997,377.281358
7/25/1997,378.0311982
7/28/1997,378.1201991
7/29/1997,381.8475049
7/30/1997,383.6191434
7/31/1997,385.8530691
8/1/1997,383.7765603
8/4/1997,382.5741354
8/5/1997,382.7599672
8/6/1997,385.385257
8/7/1997,383.4696792
8/8/1997,378.8050689
8/11/1997,382.8277041
8/12/1997,382.4566431
8/13/1997,380.4915423
8/14/1997,380.097991
8/15/1997,375.9563992
8/18/1997,379.0188625
8/19/1997,381.7506814
8/20/1997,382.3119222
8/21/1997,378.1457194
8/22/1997,380.2467499
8/25/1997,380.2909096
8/26/1997,380.6967614
8/27/1997,381.7238104
8/28/1997,380.8729252
8/29/1997,380.0497112
9/1/1997,380.0497112
9/2/1997,384.8504857
9/3/1997,386.8946013
9/4/1997,386.8342614
9/5/1997,386.548471
9/8/1997,388.2431091
9/9/1997,390.4980726
9/10/1997,388.5536772
9/11/1997,388.2820079
9/12/1997,393.9598467
9/15/1997,394.6943014
9/16/1997,399.6925866
9/17/1997,397.1464642
9/18/1997,397.4719319
9/19/1997,397.3753483
9/22/1997,399.158033
9/23/1997,397.8021469
9/24/1997,397.0825267
9/25/1997,396.120733
9/26/1997,397.4512388
9/29/1997,398.4182133
9/30/1997,397.684532
10/1/1997,400.3949887
10/2/1997,404.9194178
10/3/1997,403.4671219
10/6/1997,404.7596664
10/7/1997,405.509979
10/8/1997,399.9233803
10/9/1997,399.024443
10/10/1997,400.0483112
10/13/1997,400.8884176
10/14/1997,402.8558952
10/15/1997,402.1483207
10/16/1997,402.931088
10/17/1997,401.0198572
10/20/1997,405.3858324
10/21/1997,408.5912535
10/22/1997,407.6114187
10/23/1997,402.3482583
10/24/1997,403.8134258
10/27/1997,392.2000314
10/28/1997,395.840819
10/29/1997,398.6466125
10/30/1997,395.9682454
10/31/1997,399.5721128
11/3/1997,402.8340347
11/4/1997,402.0548435
11/5/1997,401.7322362
11/6/1997,400.0535373
11/7/1997,397.8154107
11/10/1997,400.0773011
11/11/1997,403.0796695
11/12/1997,403.266387
11/13/1997,403.2423619
11/14/1997,404.4732902
11/17/1997,410.6142813
11/18/1997,408.4290476
11/19/1997,410.7634734
11/20/1997,418.0303936
11/21/1997,420.2368734
11/24/1997,419.9989489
11/25/1997,424.4667515
11/26/1997,425.519681
11/27/1997,425.519681
11/28/1997,426.6593741
12/1/1997,431.3158329
12/2/1997,428.8634432
12/3/1997,427.5328115
12/4/1997,427.2263519
12/5/1997,428.2538303
12/8/1997,428.4422789
12/9/1997,427.732909
12/10/1997,428.0473965
12/11/1997,425.66491
12/12/1997,429.4633053
12/15/1997,435.0925066
12/16/1997,435.9005852
12/17/1997,438.6757758
12/18/1997,440.6796594
12/19/1997,441.5396204
12/22/1997,449.0441474
12/23/1997,452.0025481
12/24/1997,451.4867445
12/25/1997,451.4867445
12/26/1997,452.1957826
12/29/1997,457.5564851
12/30/1997,461.3080808
12/31/1997,461.6403947
1/1/1998,461.6403947
1/2/1998,458.5244837
1/5/1998,453.9590342
1/6/1998,449.3896526
1/7/1998,446.6716071
1/8/1998,449.2913923
1/9/1998,445.1882423
1/12/1998,448.4849252
1/13/1998,448.9122766
1/14/1998,448.7246332
1/15/1998,444.601672
1/16/1998,445.4257084
1/19/1998,445.4257084
1/20/1998,446.9253162
1/21/1998,447.5582182
1/22/1998,448.1856407
1/23/1998,446.0745614
1/26/1998,445.8050305
1/27/1998,443.9906626
1/28/1998,443.8211728
1/29/1998,444.0084261
1/30/1998,442.3015106
2/2/1998,445.5268954
2/3/1998,446.056602
2/4/1998,445.298721
2/5/1998,446.5368856
2/6/1998,449.3965532
2/9/1998,448.1010945
2/10/1998,450.0329034
2/11/1998,449.4520408
2/12/1998,451.8819158
2/13/1998,451.0843348
2/16/1998,451.0843348
2/17/1998,453.9826026
2/18/1998,454.002449
2/19/1998,451.9359111
2/20/1998,453.9319569
2/23/1998,453.7432442
2/24/1998,452.3023932
2/25/1998,455.7114652
2/26/1998,456.3129227
2/27/1998,456.3845411
3/2/1998,456.5502412
3/3/1998,457.9067221
3/4/1998,457.6524753
