Date,USA IMI/INFORMATION TECH
8/9/1996,462.0993087
8/12/1996,461.1376293
8/13/1996,452.3992268
8/14/1996,456.0281115
8/15/1996,455.2663318
8/16/1996,453.1119443
8/19/1996,452.2077679
8/20/1996,449.4007262
8/21/1996,450.4876837
8/22/1996,458.8262576
8/23/1996,458.5118774
8/26/1996,455.4896398
8/27/1996,458.6900473
8/28/1996,461.6487985
8/29/1996,457.0809415
8/30/1996,452.3989107
9/2/1996,452.4261964
9/3/1996,454.5258139
9/4/1996,454.6913224
9/5/1996,444.2054596
9/6/1996,450.9466339
9/9/1996,455.7916358
9/10/1996,457.0736374
9/11/1996,458.3588068
9/12/1996,461.9796539
9/13/1996,476.1082637
9/16/1996,481.2376013
9/17/1996,490.1101906
9/18/1996,491.7727076
9/19/1996,496.1700044
9/20/1996,499.7882633
9/23/1996,495.6611482
9/24/1996,499.3092113
9/25/1996,505.2113308
9/26/1996,503.439641
9/27/1996,503.0734304
9/30/1996,501.3715965
10/1/1996,496.6173793
10/2/1996,502.4209431
10/3/1996,499.3396859
10/4/1996,505.8429012
10/7/1996,512.7326742
10/8/1996,508.2288661
10/9/1996,509.09715
10/10/1996,508.6530387
10/11/1996,516.4267888
10/14/1996,520.7467122
10/15/1996,521.9050524
10/16/1996,519.7457051
10/17/1996,510.5619939
10/18/1996,510.5078149
10/21/1996,503.7201327
10/22/1996,495.9829096
10/23/1996,499.4133801
10/24/1996,495.8302343
10/25/1996,492.1577731
10/28/1996,487.3658154
10/29/1996,480.9706092
10/30/1996,484.5278569
10/31/1996,492.3226191
11/1/1996,490.44195
11/4/1996,491.6585406
11/5/1996,500.7412823
11/6/1996,510.9894933
11/7/1996,518.3131356
11/8/1996,519.4980308
11/11/1996,524.1808098
11/12/1996,519.7264422
11/13/1996,523.7182286
11/14/1996,531.949973
11/15/1996,531.0980939
11/18/1996,528.1289976
11/19/1996,539.1984134
11/20/1996,540.7485861
11/21/1996,538.3549557
11/22/1996,548.3580606
11/25/1996,549.7257399
11/26/1996,550.4272152
11/27/1996,555.6213242
11/28/1996,555.6230759
11/29/1996,558.2409079
12/2/1996,566.9253806
12/3/1996,562.6165951
12/4/1996,562.7544614
12/5/1996,561.8517883
12/6/1996,556.1608488
12/9/1996,573.2565397
12/10/1996,567.9637759
12/11/1996,568.7586327
12/12/1996,559.8836753
12/13/1996,551.5464867
12/16/1996,535.0638307
12/17/1996,539.2679372
12/18/1996,555.9382366
12/19/1996,559.5666794
12/20/1996,553.102016
12/23/1996,546.6244244
12/24/1996,552.0007584
12/25/1996,552.0007584
12/26/1996,557.8973651
12/27/1996,551.9487885
12/30/1996,547.4173593
12/31/1996,544.0787401
1/1/1997,544.0790831
1/2/1997,539.115319
1/3/1997,557.1911516
1/6/1997,561.8615674
1/7/1997,568.4532294
1/8/1997,563.1079941
1/9/1997,565.8136352
1/10/1997,573.0379022
1/13/1997,574.1859196
1/14/1997,582.8803332
1/15/1997,573.977232
1/16/1997,578.9778951
1/17/1997,583.326684
1/20/1997,589.0293248
1/21/1997,597.2442675
1/22/1997,599.8927378
1/23/1997,592.7662945
1/24/1997,584.0415007
1/27/1997,576.8727495
1/28/1997,579.8487195
1/29/1997,583.5970543
1/30/1997,595.9243497
1/31/1997,598.8937971
2/3/1997,595.3261374
2/4/1997,592.9647491
2/5/1997,573.3169145
2/6/1997,572.3856141
2/7/1997,582.5673941
2/10/1997,564.6146995
2/11/1997,562.9947821
2/12/1997,579.0196248
2/13/1997,582.6508092
2/14/1997,578.3894275
2/17/1997,578.3894275
2/18/1997,579.1906752
2/19/1997,583.1552777
2/20/1997,571.9386673
2/21/1997,560.8498252
2/24/1997,570.4183793
2/25/1997,573.1177088
2/26/1997,570.1259364
2/27/1997,550.7024381
2/28/1997,550.4140683
3/3/1997,554.1611853
3/4/1997,558.2166262
3/5/1997,564.5209917
3/6/1997,553.5458183
3/7/1997,547.9855821
3/10/1997,552.7187108
3/11/1997,550.0832828
3/12/1997,546.4941216
3/13/1997,543.4260194
3/14/1997,542.3318161
3/17/1997,535.0841094
3/18/1997,529.7012617
3/19/1997,516.1353143
3/20/1997,524.5928952
3/21/1997,520.618891
3/24/1997,517.1771834
3/25/1997,521.2617337
3/26/1997,537.3326508
3/27/1997,528.5631062
