Date,USA IMI/HEALTH CARE
2/23/1998,565.6174705
2/24/1998,561.2757655
2/25/1998,566.050448
2/26/1998,566.9895299
2/27/1998,568.2995834
3/2/1998,567.7777843
3/3/1998,568.1856904
3/4/1998,561.0863307
3/5/1998,557.9750443
3/6/1998,570.5583187
3/9/1998,574.328803
3/10/1998,584.2916418
3/11/1998,585.1726414
3/12/1998,585.3859745
3/13/1998,582.8162209
3/16/1998,587.4909203
3/17/1998,590.2797089
3/18/1998,590.2559474
3/19/1998,589.7574063
3/20/1998,593.7961176
3/23/1998,591.1584983
3/24/1998,593.6798125
3/25/1998,588.3162822
3/26/1998,585.086352
3/27/1998,582.1766884
3/30/1998,581.8621739
3/31/1998,590.5489011
4/1/1998,594.8993552
4/2/1998,602.5898228
4/3/1998,605.5414
4/6/1998,605.7358817
4/7/1998,601.9148239
4/8/1998,594.4604126
4/9/1998,595.2186896
4/10/1998,595.2186896
4/13/1998,593.0072033
4/14/1998,591.0875877
4/15/1998,587.7470415
4/16/1998,581.1270905
4/17/1998,595.7713878
4/20/1998,604.3631515
4/21/1998,603.609327
4/22/1998,603.0817138
4/23/1998,598.2763767
4/24/1998,593.7037653
4/27/1998,578.5082705
4/28/1998,583.6966233
4/29/1998,588.4366978
4/30/1998,601.6250409
5/1/1998,595.7644085
5/4/1998,599.6332595
5/5/1998,596.8063297
5/6/1998,590.3164927
5/7/1998,587.2043707
5/8/1998,598.0766702
5/11/1998,596.0348536
5/12/1998,600.0223522
5/13/1998,601.8268483
5/14/1998,602.6999014
5/15/1998,598.3816353
5/18/1998,602.411092
5/19/1998,606.2691069
5/20/1998,609.3739739
5/21/1998,602.4130369
5/22/1998,599.0084552
5/25/1998,599.0084552
5/26/1998,589.4349449
5/27/1998,591.1921504
5/28/1998,592.334806
5/29/1998,586.6927974
6/1/1998,583.8459755
6/2/1998,580.8856264
6/3/1998,576.6063193
6/4/1998,586.281943
6/5/1998,597.0482111
6/8/1998,600.7131057
6/9/1998,605.4481308
6/10/1998,605.9492455
6/11/1998,598.7272459
6/12/1998,603.1882869
6/15/1998,591.2956454
6/16/1998,599.4994887
6/17/1998,609.4253737
6/18/1998,612.5143684
6/19/1998,609.2376312
6/22/1998,606.1968349
6/23/1998,611.0134736
6/24/1998,621.9731041
6/25/1998,619.1701533
6/26/1998,625.4348666
6/29/1998,627.1626574
6/30/1998,620.6887609
7/1/1998,623.4189628
7/2/1998,625.8276045
7/3/1998,625.8276045
7/6/1998,632.5868488
7/7/1998,633.5194115
7/8/1998,635.7086312
7/9/1998,634.3772092
7/10/1998,637.2229077
7/13/1998,639.4171014
7/14/1998,648.5402544
7/15/1998,645.0143501
7/16/1998,653.4419303
