Date,USA IMI/MATERIALS
1/14/1997,416.8739638
1/15/1997,416.0709129
1/16/1997,418.8078029
1/17/1997,424.1937393
1/20/1997,420.9861895
1/21/1997,420.2165634
1/22/1997,414.90785
1/23/1997,412.4315705
1/24/1997,410.1371481
1/27/1997,407.954332
1/28/1997,408.1218763
1/29/1997,409.969751
1/30/1997,412.0364339
1/31/1997,410.5978548
2/3/1997,411.1172545
2/4/1997,412.8217881
2/5/1997,409.0150334
2/6/1997,410.0755642
2/7/1997,414.4234633
2/10/1997,411.0204767
2/11/1997,412.2140601
2/12/1997,418.1599144
2/13/1997,420.4600608
2/14/1997,420.8054855
2/17/1997,420.8054855
2/18/1997,421.9785102
2/19/1997,419.7596285
2/20/1997,418.5828588
2/21/1997,419.1343178
2/24/1997,424.1042366
2/25/1997,422.5857513
2/26/1997,421.8368041
2/27/1997,420.9669311
2/28/1997,420.1641095
3/3/1997,423.5965823
3/4/1997,420.4433037
3/5/1997,422.6126996
3/6/1997,423.4465864
3/7/1997,426.0442397
3/10/1997,428.7379311
3/11/1997,431.4553054
3/12/1997,430.4385589
3/13/1997,426.2698666
3/14/1997,429.3084914
3/17/1997,430.900634
3/18/1997,426.7399682
3/19/1997,424.044372
3/20/1997,420.0713263
3/21/1997,419.8630647
3/24/1997,422.9038123
3/25/1997,417.3618292
3/26/1997,416.1801017
3/27/1997,409.4395783
3/28/1997,409.4395783
3/31/1997,404.6165536
4/1/1997,403.3877795
4/2/1997,400.9357663
4/3/1997,399.1458787
4/4/1997,400.1664689
4/7/1997,400.716128
4/8/1997,403.8563721
4/9/1997,402.0299115
4/10/1997,401.9252868
4/11/1997,393.7541909
4/14/1997,392.8923556
4/15/1997,397.9690842
4/16/1997,402.4614601
4/17/1997,405.1425913
4/18/1997,407.1478564
4/21/1997,404.8000132
4/22/1997,408.8709644
4/23/1997,405.7366922
4/24/1997,404.7363545
4/25/1997,403.159571
4/28/1997,404.2474263
4/29/1997,410.5058852
4/30/1997,414.268149
5/1/1997,412.8294624
5/2/1997,419.4636173
5/5/1997,428.2376348
5/6/1997,429.8500044
5/7/1997,424.5538064
5/8/1997,427.0347926
5/9/1997,428.4419099
5/12/1997,434.2977047
5/13/1997,432.998258
5/14/1997,434.1018808
5/15/1997,436.9032385
5/16/1997,433.1646213
5/19/1997,434.9887678
5/20/1997,435.8644249
5/21/1997,433.7196137
5/22/1997,434.3335948
5/23/1997,439.5867053
5/26/1997,439.5867053
5/27/1997,441.7476748
5/28/1997,438.4512508
5/29/1997,440.2640739
5/30/1997,441.3083072
6/2/1997,441.7065392
6/3/1997,441.5848838
6/4/1997,437.7909087
6/5/1997,440.9561502
6/6/1997,444.6595748
6/9/1997,444.738191
6/10/1997,447.4906021
6/11/1997,452.2078348
